PC1,PC2,PC3
-1.985137,-0.238470,-0.479563
-1.971428,-0.234866,-0.542039
-1.964981,-0.213535,-0.582797
-1.951087,-0.190352,-0.644072
-2.043171,-0.708376,-1.085855
-2.038629,-0.787457,-1.086358
-2.030505,-0.836161,-1.085295
-2.029714,-0.529553,-1.072451
-2.001477,-0.583795,-1.118458
-2.005561,-0.690731,-1.134430
-1.998270,-0.777629,-1.136051
-1.980502,-0.831505,-1.141387
-1.943169,-0.701814,-1.179185
-2.045446,-0.918081,-1.019945
-2.007215,-0.917588,-1.076475
-1.964783,-0.913735,-1.127691
-1.986230,-0.224387,-0.219728
-2.010007,-0.342230,-0.407113
-2.009279,-0.331388,-0.477094
-1.977505,-1.078474,-0.449168
-2.030011,-1.020076,-0.539606
-1.993241,-1.112841,-0.527330
-2.044266,-1.047527,-0.638690
-1.999161,-1.141130,-0.613674
-1.947674,-1.227633,-0.574893
-1.996545,-1.177728,-0.707618
-1.948962,-1.260323,-0.683172
-2.043810,-1.088672,-0.778192
-2.007407,-1.166212,-0.754154
-2.030572,-1.101156,-0.840522
-1.985959,-1.193537,-0.810269
-2.010614,-1.108430,-0.895142
-1.957024,-1.208071,-0.868300
-2.034193,-1.014479,-0.952302
-1.994724,-1.110997,-0.927490
-1.957645,-1.188010,-0.902391
-2.010486,-1.018359,-1.001079
-1.971647,-1.115430,-0.977353
-1.974018,-1.019262,-1.059732
-1.960619,-1.041751,-0.384635
-1.952293,-1.118006,-0.422264
-1.959948,-0.882723,-0.270123
-1.956199,-0.940554,-0.299805
-1.976783,-0.925074,-0.338427
-1.994942,-0.955855,-0.402496
-2.016680,-0.967739,-0.459888
-2.021028,-0.995464,-0.490726
-1.991630,-0.792548,-0.307259
-1.995560,-0.832393,-0.332716
-2.015108,-0.830841,-0.375351
-2.028972,-0.874870,-0.431886
-1.985019,-0.701237,-0.269396
-2.006093,-0.723316,-0.314043
-2.030325,-0.694405,-0.361111
-1.987208,-0.563573,-0.257024
-2.010881,-0.612889,-0.305304
-2.028317,-0.588285,-0.337014
-1.974459,-0.429973,-0.240301
-1.997442,-0.498154,-0.279222
-2.035080,-0.487983,-0.363753
-2.006960,-0.439562,-0.314497
-1.967353,-0.324407,-0.217134
-1.991091,-0.395801,-0.286377
-1.996231,-0.315007,-0.301419
-2.012336,-0.375528,-0.357057
-1.934582,-0.426471,-0.188727
-1.946180,-0.361500,-0.198310
-1.955688,-0.223211,-0.184162
-1.948804,-0.109095,-0.166472
-1.932412,0.054054,-0.106971
-1.942981,0.021882,-0.149484
-1.955891,0.166276,-0.134255
-1.931762,-0.253585,0.336667
-1.943266,-0.298973,0.316147
-1.837724,-0.189969,0.006290
-1.884849,-0.084263,-0.027417
-1.926448,-0.112088,-0.070868
-1.853494,-0.063062,-0.013671
-1.846588,0.938988,0.396705
-1.874940,0.897293,0.360280
-1.817951,1.059044,0.523773
-1.913409,0.852970,0.318269
-1.885910,0.945521,0.455219
-1.835400,0.434282,0.438333
-1.908137,0.406713,0.420414
-1.889658,0.467311,0.437851
-1.884200,0.584781,0.467880
-1.918856,0.535260,0.430899
-1.846980,0.611763,0.502324
-1.911508,0.650502,0.454679
-1.826890,0.731719,0.540288
-1.862495,0.700735,0.503348
-1.913550,0.773810,0.465695
-1.823528,0.844823,0.559304
-1.871579,0.826536,0.512433
-1.852231,0.941885,0.538852
-1.898014,0.904800,0.481820
-1.870341,0.967334,0.508027
-1.814168,1.050571,0.577274
-1.859217,1.006685,0.498750
-1.836207,0.926276,-0.119981
-1.869827,0.880728,-0.173317
-1.900419,0.839238,-0.215068
-1.841769,0.918137,-0.222156
-1.843451,0.981714,-0.247062
-1.869316,0.850994,-0.271794
-1.822333,1.061348,-0.268465
-1.844335,1.017948,-0.291693
-1.858817,0.957647,-0.343352
-1.836074,1.057044,-0.328175
-1.839265,1.041795,-0.423463
-1.818450,1.084807,-0.481683
-1.885389,0.798218,-0.288166
-1.896349,0.772650,-0.311778
-1.864335,0.880296,-0.331185
-1.872387,0.839594,-0.369281
-1.881569,0.779498,-0.392900
-1.893551,0.728277,-0.391126
-1.904286,0.662371,-0.425590
-1.862798,0.906791,-0.376530
