PC1,PC2,PC3
-0.386270,-0.053801,-0.098333
-0.383525,-0.053884,-0.110472
-0.382257,-0.050216,-0.118652
-0.379516,-0.046444,-0.130808
-0.395962,-0.154032,-0.210426
-0.394926,-0.169561,-0.209482
-0.393248,-0.179092,-0.208615
-0.393692,-0.118736,-0.210074
-0.388023,-0.129938,-0.218199
-0.388600,-0.151143,-0.219944
-0.387012,-0.168215,-0.219107
-0.383436,-0.178834,-0.219373
-0.376352,-0.153808,-0.228242
-0.396089,-0.194346,-0.194909
-0.388563,-0.194930,-0.205747
-0.380229,-0.194776,-0.215581
-0.386826,-0.047651,-0.047984
-0.391013,-0.073263,-0.083007
-0.390805,-0.072044,-0.096753
-0.383221,-0.218301,-0.081541
-0.393471,-0.208092,-0.100106
-0.386130,-0.226089,-0.096365
-0.396076,-0.214796,-0.119080
-0.387129,-0.232775,-0.112818
-0.376969,-0.249171,-0.103943
-0.386434,-0.241178,-0.130607
-0.377023,-0.257004,-0.124582
-0.395740,-0.224684,-0.145681
-0.388518,-0.239544,-0.139852
-0.393057,-0.227929,-0.157587
-0.384215,-0.245605,-0.150320
-0.389083,-0.230036,-0.168031
-0.378471,-0.249168,-0.161296
-0.393794,-0.212375,-0.180461
-0.385940,-0.230936,-0.174223
-0.378588,-0.245673,-0.168190
-0.389102,-0.213734,-0.189798
-0.381369,-0.232423,-0.183767
-0.381911,-0.214621,-0.201040
-0.380076,-0.210221,-0.069394
-0.378263,-0.225669,-0.075690
-0.380384,-0.177514,-0.049174
-0.379510,-0.189247,-0.054182
-0.383505,-0.186742,-0.061979
-0.386915,-0.193645,-0.074124
-0.391064,-0.196758,-0.085221
-0.391820,-0.202613,-0.090878
-0.386692,-0.160344,-0.057695
-0.387354,-0.168501,-0.062147
-0.391117,-0.168781,-0.070542
-0.393674,-0.178181,-0.081026
-0.385623,-0.141909,-0.051480
-0.389637,-0.146861,-0.059969
-0.394365,-0.141831,-0.069596
-0.386324,-0.114729,-0.050859
-0.390794,-0.125074,-0.059715
-0.394200,-0.120686,-0.066271
-0.384112,-0.088262,-0.049279
-0.388419,-0.102192,-0.056067
-0.395679,-0.101352,-0.072795
-0.390346,-0.091158,-0.063724
-0.382952,-0.067224,-0.046110
-0.387368,-0.082177,-0.058756
-0.388500,-0.066523,-0.062744
-0.391463,-0.079150,-0.072853
-0.376399,-0.086844,-0.039128
-0.378774,-0.074231,-0.041878
-0.380912,-0.046910,-0.040957
-0.379807,-0.024264,-0.038958
-0.376989,0.008562,-0.029423
-0.378939,0.001678,-0.037322
-0.381748,0.030201,-0.036279
-0.376818,-0.046054,0.060835
-0.378950,-0.055251,0.057381
-0.358190,-0.037721,-0.003847
-0.367542,-0.017483,-0.011968
-0.375553,-0.023576,-0.020230
-0.361484,-0.013093,-0.009437
-0.362532,0.188983,0.057466
